杭州,杭州盛昌华贸易有限公司,大专,3-5年,西湖区,10k-15k
武汉,武汉诗意文化传媒有限公司,本科,3-5年,东湖新技术开发区,7k-14k
深圳,深圳市迷你玩科技有限公司,本科,3-5年,南山区,15k-25k
杭州,浙江分享空间科技有限公司,本科,5-10年,滨江区,14k-24k
城市,公司名称,学历,任职要求,区域,金额
广州,深圳创酷互动信息技术有限公司广州分公司,大专,1-3年,天河区,8k-16k
上海,北京初见科技有限公司,本科,1-3年,浦东新区,12k-18k
杭州,杭州卷瓜网络有限公司,本科,1-3年,西湖区,10k-20k
武汉,北京清众教育科技有限公司,本科,1-3年,洪山区,12k-18k
上海,上海骞云信息科技有限公司,本科,3-5年,杨浦区,10k-18k
杭州,浙江远图互联科技股份有限公司,本科,1-3年,西湖区,8k-15k
北京,北京东方国信科技股份有限公司,本科,1-3年,朝阳区,8k-16k
上海,深圳市房多多网络科技有限公司,本科,1-3年,静安区,15k-25k
深圳,深圳市房多多网络科技有限公司,本科,3-5年,南山区,15k-30k
合肥,广东讯飞启明科技发展有限公司,本科,3-5年,肥西县,10k-15k
广州,广州市以游网络科技有限公司,大专,3-5年,天河区,11k-20k
广州,北京一一万物科技有限公司,本科,1-3年,番禺区,15k-30k
成都,成都博智维讯信息技术股份有限公司,本科,3-5年,高新区,18k-30k
北京,北京数美时代科技有限公司,本科,1-3年,朝阳区,15k-30k
杭州,杭州爱智投科技有限公司,本科,3-5年,滨江区,12k-20k
城市,公司名称,学历,任职要求,区域,金额
广州,深圳创酷互动信息技术有限公司广州分公司,大专,1-3年,天河区,8k-16k
上海,北京初见科技有限公司,本科,1-3年,浦东新区,12k-18k
广州,德勤企业咨询（上海）有限公司,本科,3-5年,天河区,10k-20k
杭州,杭州涂鸦信息技术有限公司,本科,3-5年,西湖区,15k-25k
杭州,杭州涂鸦信息技术有限公司,不限,不限,西湖区,15k-25k
北京,北京麒麟合盛科技有限公司,本科,3-5年,朝阳区,15k-30k
杭州,观澜网络（杭州）有限公司,不限,5-10年,滨江区,10k-20k
北京,北京字节跳动科技有限公司,本科,1-3年,海淀区,12k-24k
北京,北京字节跳动科技有限公司,本科,不限,海淀区,10k-20k
杭州,杭州大搜车汽车服务有限公司,大专,3-5年,余杭区,10k-20k
广州,广州市品众电子科技有限公司,本科,3-5年,天河区,12k-22k
合肥,上海万澄环保科技有限公司,本科,不限,政务文化新区,6k-12k
成都,四川星石悦文科技有限公司,不限,不限,锦江区,6k-11k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
城市,公司名称,学历,任职要求,区域,金额
广州,深圳创酷互动信息技术有限公司广州分公司,大专,1-3年,天河区,8k-16k
上海,北京初见科技有限公司,本科,1-3年,浦东新区,12k-18k
北京,北京字节跳动科技有限公司,本科,不限,海淀区,10k-20k
深圳,北京字节跳动科技有限公司,本科,不限,南山区,15k-30k
广州,广州小鹏汽车科技有限公司,不限,不限,天河区,15k-30k
广州,广州小鹏汽车科技有限公司,不限,不限,天河区,15k-30k
无锡,无锡鼎洲电子科技有限公司,本科,1-3年,滨湖区,10k-20k
广州,广州诚迈信息科技有限公司,本科,3-5年,黄埔区,15k-30k
上海,上海嵩恒网络科技股份有限公司,本科,1-3年,普陀区,10k-20k
北京,北京小米科技有限责任公司,不限,不限,海淀区,15k-30k
西安,上海中软华腾软件系统有限公司,本科,不限,高新技术产业开发区,14k-28k
深圳,深圳追一科技有限公司,本科,3-5年,南山区,17k-30k
深圳,深圳追一科技有限公司,本科,3-5年,南山区,18k-30k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
城市,公司名称,学历,任职要求,区域,金额
深圳,北京字节跳动科技有限公司,本科,不限,南山区,15k-30k
深圳,北京字节跳动科技有限公司,本科,不限,南山区,15k-30k
深圳,深圳市嘉立创科技发展有限公司,大专,3-5年,福田区,15k-30k
广州,广东三维家信息科技有限公司,本科,3-5年,天河区,15k-25k
杭州,众安在线财产保险股份有限公司,大专,1-3年,西湖区,10k-20k
珠海,成都西山居互动娱乐科技有限公司珠海分公司,本科,不限,香洲区,18k-36k
北京,北京竞业达数码科技股份有限公司,硕士,3-5年,海淀区,15k-25k
南京,江苏小拉科技有限公司,本科,5-10年,雨花台区,11k-17k
南京,江苏小拉科技有限公司,大专,3-5年,雨花台区,9k-15k
杭州,杭州映云科技有限公司,本科,1-3年,余杭区,8k-15k
广州,广州博依特智能信息科技有限公司,本科,3-5年,黄埔区,10k-20k
深圳,深圳市超级猩猩健身管理有限公司,本科,3-5年,南山区,12k-16k
广州,广州酷狗计算机科技有限公司,本科,3-5年,天河区,13k-26k
合肥,哈工大机器人（合肥）国际创新研究院,本科,3-5年,经济技术开发区,10k-15k
北京,北京世相科技文化有限公司,本科,5-10年,朝阳区,18k-25k
城市,公司名称,学历,任职要求,区域,金额
广州,广州博依特智能信息科技有限公司,本科,3-5年,黄埔区,10k-20k
深圳,深圳天元云科技有限公司,本科,1-3年,福田区,7k-14k
北京,北京区块节点科技有限公司,本科,3-5年,朝阳区,10k-20k
北京,欧科互动网络科技（北京）有限公司,本科,不限,海淀区,15k-30k
深圳,上海炽聚网络科技有限公司,本科,1-3年,南山区,15k-25k
深圳,杭州天谷信息科技有限公司,本科,5-10年,南山区,15k-22k
北京,点点互动（北京）科技有限公司,本科,3-5年,海淀区,15k-25k
北京,百融云创科技股份有限公司,本科,3-5年,朝阳区,15k-30k
北京,百融云创科技股份有限公司,本科,3-5年,朝阳区,15k-30k
杭州,杭州绿云科技有限公司,大专,1-3年,西湖区,8k-14k
北京,用友网络科技股份有限公司,本科,3-5年,海淀区,16k-25k
北京,北京酷划在线网络技术有限公司,本科,1-3年,海淀区,15k-30k
广州,广州小卫科技有限公司,本科,3-5年,海珠区,10k-15k
武汉,武汉卓讯互动信息科技有限公司,大专,3-5年,洪山区,9k-15k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
城市,公司名称,学历,任职要求,区域,金额
广州,广州博依特智能信息科技有限公司,本科,3-5年,黄埔区,10k-20k
北京,百融云创科技股份有限公司,不限,不限,朝阳区,15k-25k
武汉,武汉卓讯互动信息科技有限公司,大专,3-5年,洪山区,9k-15k
